name,nelat,nwlon,selat,swlon
Alexandra Gardens,-37.81869114999999,144.97803185,-37.82288215000001,144.96558805
Flagstaff Gardens,-37.80676705,144.95757005,-37.81414645,144.95080505
Fitzroy Gardens,-37.80685015,144.9863793,-37.81905275000001,144.9744725
Kings Domain,-37.82280597010728,144.9748344298928,-37.82550562989273,144.9721347701073
Westgate Park,-37.83045597010727,144.9123806798927,-37.83315562989272,144.9096810201073
Batman Park Public BBQ,-37.82029897010727,144.9589517298927,-37.82299862989272,144.9562520701073
Parliament Gardens,-37.80857617010727,144.975247,-37.81127582989271,144.971971
BIG4 Melbourne Holiday Park,-37.72137522010728,144.9862651798927,-37.72407487989272,144.9835655201072
Queen Victoria Gardens,-37.82136217010727,144.9726836798927,-37.82406182989271,144.9699840201073
Carlton Gardens,-37.7974459,144.97662605,-37.8111199,144.96631825
Maritime Cove Community Park,-37.83947237010728,144.9149948298927,-37.84217202989272,144.9122951701073
Birrarung Marr,-37.815315,144.9802419,-37.823345,144.9640487
Fawkner Park,-37.83301355,144.9894111,-37.84963375000001,144.9736383
Queens Park,-37.76070707010727,144.9253642298928,-37.76340672989272,144.9226645701073
Treasury Gardens,-37.81318162010728,144.97667315,-37.81588127989272,144.97391735
Charles Evans Reserve,-37.83071922010728,144.9930508298927,-37.83341887989272,144.9903511701073
Discovery Parks - Melbourne,-37.78322467010728,144.8653374298927,-37.78592432989272,144.8626377701072
Wattle Park,-37.8331227,145.1167722,-37.8445879,145.0921706
Nortons Park,-37.87791152010728,145.2005726798928,-37.88061117989272,145.1978730201073
Eades Place Park,-37.80593307010728,144.9527014298927,-37.80863272989273,144.9500017701072
